ares	The Greek god of war as an original character: a towering broad-shouldered warrior with a hard bearded face and short dark hair under a bronze Corinthian helmet with a tall crimson horsehair crest, a bronze muscled cuirass engraved with a boar and crossed spears, a crimson tunic under a skirt of leather pteruges, bronze greaves and vambraces, leather sandals, a short bronze xiphos sword held down at his right side flat against the thigh, no cape and no cloak, no shield.
sekhmet	The Egyptian lioness goddess of war as an original character: a tall powerful woman with the black-furred head of a lioness, a gold sun-disc crown with a rearing cobra, a broad lapis and carnelian collar, a fitted gold scale bodice, a crimson war skirt with hanging gold plates ending above the knees, gold arm bands and sandals, feet a shoulder-width apart, a short curved bronze khopesh no longer than her forearm held point-down in her right hand flat along the outside of her right thigh with its curve turned in against the leg, its tip above the knee and nothing reaching the ground.
anubis	The Egyptian jackal-headed god of embalming as an original character: a tall lean man with the black-furred head of a jackal with tall pointed ears, a striped lapis-blue and gold nemes headcloth, a broad gold and obsidian collar and chest plate, a white kilt with lapis panels and a gold belt, gold arm bands and sandals, a gold crook held down at his right side flat against the thigh.
thoth	The Egyptian ibis-headed god of wisdom as an original character: a slender scholarly man with the white-feathered head and long curved black beak of an ibis, a lunar crescent and disc on his brow, a white and turquoise pleated linen robe with a broad gold collar ending above the ankles, gold arm bands and sandals, a rolled papyrus scroll held down at his right side flat against the thigh.
achilles	A Greek hero of the Trojan War as an original character: a tall athletic young man with long golden hair under a bronze crested helmet pushed up on his head, a bronze muscled cuirass over a short red tunic ending above the knees, bronze greaves, sandalled feet apart, a short bronze sword held down flat against the outside of his right thigh, no spear and no shield. Palette bronze, red, gold.
amazon	Amazon warrior, Greek: a strong woman with a braided ponytail, a leather and bronze cuirass, a short red chiton, bronze greaves, a double-headed axe held down flat against the outside of her right thigh, no shield. Palette bronze, red, tan leather.
anhur	The Egyptian hunter god as an original character: a tall athletic bearded man with a crown of four tall straight plumes, a short embroidered tunic with a red and gold kilt ending above the knees, a wide gold collar, gold vambraces, sandalled feet apart, a curved khopesh sword held down flat against the outside of his right thigh and a coiled rope on his belt, no spear. Palette red, gold, white.
aphrodite	The Greek goddess of love as an original character: a graceful woman with long wavy golden hair, a flowing rose-pink and white chiton with a gold girdle ending above the ankles, gold jewellery, a small white dove perched on her right shoulder, bare feet apart, a large scallop shell held tight against the outside of her left leg. Palette rose pink, white, gold.
apollo	Apollo, Greek god of the sun and music: a young clean-shaven man with golden curls and a laurel wreath, a white chiton with gold trim, a gold lyre held against his chest, a quiver on his back. Palette gold, white, sky blue.
artemis	The Greek goddess of the hunt as an original character: an athletic young woman with auburn hair tied back under a silver crescent diadem, a short green hunting chiton ending above the knees, leather bracers, laced sandals with both feet a shoulder-width apart, a quiver of arrows on her back, a short recurve bow held upright in her left hand, gripped at its middle close against the outside of her left leg, its lower tip at knee height clear of the ground and its upper tip no higher than her shoulder. Palette forest green, silver, tan leather.
atalanta	A Greek huntress as an original character: a lean young woman with auburn hair tied back, a short green hunting chiton with a leather belt ending above the knees, a leather bracer, a short brown cloak that hangs straight down her back, laced sandals with both feet apart, a recurve bow held upright close against the body, gripped at its middle so its butt hangs clear of the ground at knee height and its head rises no higher than the crown of the head and a quiver on her back. Palette forest green, leather brown, bronze.
athena	Athena, Greek goddess of wisdom and war: a tall woman in a crested bronze Corinthian helmet pushed back to show her face, a white peplos under a bronze breastplate with an owl emblem, a short spear held upright close against the body, gripped at its middle so its butt hangs clear of the ground at knee height and its head rises no higher than the crown of the head. Palette bronze, white, olive green, no shield.
baldr	The Norse god of light as an original character: a handsome young man with shoulder-length golden hair and a short beard, a white and gold tunic with a blue cloak that hangs straight down his back, a gold torc, gold arm rings, fur-trimmed boots apart, a slender white spear held upright close against the body, gripped at its middle so its butt hangs clear of the ground at knee height and its head rises no higher than the crown of the head. Palette white, gold, sky blue.
bastet	The Egyptian cat goddess as an original character: a slender athletic woman with the sleek black-furred head of a cat with gold hoop earrings, a wide gold collar, a fitted green and gold bodice, a short pleated linen kilt ending at mid-thigh, slit at the sides so both legs are fully separate and visible, gold arm bands and anklets, bare feet a shoulder-width apart with clear space between the knees, empty open hands hanging at her sides a little away from the body. Palette black, emerald green, gold.
